Y,YRT70-F30,YRT70-F30S,YRT70-F29,YRT70-F28,YRT70-F27,YRT70-M26,YRT70-M25,YRT70-M24,YRT70-M23,YRT70-M22,YRT70-F22,YRT70-F21,YRT70-M19,YRT70-M18,YRT85-F30,YRT85-F29,YRT85-F28,YRT85-M26,YRT85-M25,YRT85-M24,YRT85-M23,YRT85-F22,YRT85-F21,YRT85-M19,YRT85-M18,LEVEL-F29,LEVEL-F28,LEVEL-M25,LEVEL-M23,LEVEL-F21,LEVEL-M18
30,8.029992,8.029992,7.260000,6.520000,5.910000,12.444996,12.279500,5.470000,4.970000,4.490000,3.730000,3.400000,3.420000,3.170000,4.320000,3.969996,3.609996,7.543992,6.990000,3.180000,2.940000,2.240004,2.070000,2.150004,2.010000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
31,8.689992,8.689992,7.910000,7.160000,6.430000,13.603992,13.243000,5.880000,5.370000,4.880000,4.060000,3.680000,3.670000,3.350000,4.680000,4.320000,3.969996,8.241000,7.540000,3.410004,3.180000,2.439996,2.240000,2.300004,2.120000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
32,9.399996,9.399996,8.560000,7.800000,7.060000,14.763000,14.288500,6.340000,5.770000,5.240000,4.370000,3.980000,3.950000,3.630000,5.059992,4.680000,4.320000,8.937996,8.140000,3.680004,3.410000,2.619996,2.420000,2.480004,2.290000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
33,10.569996,10.569996,9.260000,8.370000,7.590000,16.035996,15.559500,6.840000,6.220000,5.640000,4.700000,4.310000,4.250000,3.880000,5.689992,5.059992,4.640004,9.717000,8.860000,3.969996,3.680000,2.820000,2.620000,2.670000,2.450000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
34,11.730000,11.730000,10.410000,9.130000,8.240000,17.460996,17.076500,7.440000,6.710000,6.060000,5.050000,4.640000,4.630000,4.210000,6.319992,5.689992,5.059992,10.598496,9.720000,4.320000,3.970000,3.030000,2.820000,2.910000,2.660000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
35,12.930000,12.930000,11.560000,10.260000,9.000000,18.885996,18.593500,8.170000,7.310000,6.590000,5.470000,4.990000,5.010000,4.580000,6.960000,6.319992,5.689992,11.459496,10.600000,4.740000,4.320000,3.290004,3.030000,3.140004,2.900000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
36,14.169996,14.169996,12.740000,11.390000,10.120000,20.709996,20.110500,8.900000,8.020000,7.170000,5.940000,5.410000,5.380000,4.950000,7.629996,6.960000,6.319992,12.546000,11.460000,5.169996,4.740000,3.570000,3.290000,3.380004,3.130000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
37,15.369996,15.369996,13.960000,12.560000,11.200000,23.065992,21.853000,9.630000,8.730000,7.870000,6.520000,5.870000,5.790000,5.310000,8.269992,7.629996,6.960000,13.980996,12.440000,5.589996,5.170000,3.909996,3.570000,3.639996,3.360000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
38,16.629996,16.629996,15.060000,13.610000,12.270000,25.611984,24.538500,10.460000,9.340000,8.470000,7.050000,6.400000,6.250000,5.730000,8.949996,8.229996,7.539996,15.538992,13.980000,6.069996,5.530000,4.230000,3.890000,3.920004,3.620000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
39,18.049992,18.049992,16.390000,14.840000,13.420000,28.176984,27.265000,11.750000,10.270000,9.170000,7.620000,6.960000,6.790000,6.180000,9.720000,8.949996,8.229996,17.076492,15.540000,6.819996,6.070000,4.580004,4.230000,4.269996,3.910000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
40,19.469988,19.469988,17.790000,16.160000,14.630000,30.817992,29.991500,13.050000,11.530000,10.080000,8.370000,7.530000,7.430000,6.720000,10.479996,9.720000,8.949996,18.695988,17.080000,7.579992,6.820000,5.019996,4.580000,4.670004,4.250000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
