Year,Month,FV_BOY,Deposit,TAX,FV1,FaceValue,NAAR,COI_Rate,COI,FV_Net,AnnualRate,Growth,FV_EOY
9,2,402070.9933980213,0.0,0.0,402070.9933980213,10000000.0,9597929.006601978,2.28,1823.6065112543756,400247.38688676694,0.0425,1390.6575459010032,401638.04443266796
9,3,401638.04443266796,0.0,0.0,401638.04443266796,10000000.0,9598361.955567332,2.28,1823.688771557793,399814.35566111014,0.0425,1389.1529810711004,401203.50864218123
9,4,401203.50864218123,0.0,0.0,401203.50864218123,10000000.0,9598796.491357818,2.28,1823.7713333579852,399379.73730882327,0.0425,1387.6429017776513,400767.3802106009
9,5,400767.3802106009,0.0,0.0,400767.3802106009,10000000.0,9599232.6197894,2.28,1823.8541977599857,398943.5260128409,0.0425,1386.1272878092914,400329.6533006502
9,6,400329.6533006502,0.0,0.0,400329.6533006502,10000000.0,9599670.34669935,2.28,1823.9373658728762,398505.7159347773,0.0425,1384.6061188805786,399890.32205365784
9,7,399890.32205365784,0.0,0.0,399890.32205365784,10000000.0,9600109.677946342,2.28,1824.020838809805,398066.30121484806,0.0425,1383.0793746317213,399449.3805894798
9,8,399449.3805894798,0.0,0.0,399449.3805894798,10000000.0,9600550.61941052,2.28,1824.1046176879986,397625.2759717918,0.0425,1381.547034628306,399006.8230064201
9,9,399006.8230064201,0.0,0.0,399006.8230064201,10000000.0,9600993.17699358,2.28,1824.18870362878,397182.6343027913,0.0425,1380.009078361024,398562.64338115236
9,10,398562.64338115236,0.0,0.0,398562.64338115236,10000000.0,9601437.356618848,2.28,1824.273097757581,396738.37028339476,0.0425,1378.4654852453968,398116.83576864016
9,11,398116.83576864016,0.0,0.0,398116.83576864016,10000000.0,9601883.16423136,2.28,1824.3578012039582,396292.4779674362,0.0425,1376.916234621501,397669.3942020577
9,12,397669.3942020577,0.0,0.0,397669.3942020577,10000000.0,9602330.605797943,2.28,1824.4428151016089,395844.9513869561,0.0425,1375.3613057536904,397220.3126927098
10,1,397220.3126927098,58720.0,1937.76,454002.5526927098,10000000.0,9545997.44730729,2.330004,1853.5176863513148,452149.03500635846,0.0425,1570.9895629658097,453720.0245693243
10,2,453720.0245693243,0.0,0.0,453720.0245693243,10000000.0,9546279.975430675,2.330004,1853.5725439894477,451866.4520253348,0.0425,1570.0077298101694,453436.459755145
10,3,453436.459755145,0.0,0.0,453436.459755145,10000000.0,9546563.540244855,2.330004,1853.627602918723,451582.8321522263,0.0425,1569.0222939781613,453151.85444620444
