	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
12	205650	211990	218560	225300	232270	239470	246960	254720	262770	271110	279730	288630	297780	307210	316890	326840	337050	347540	358290	369330	380620	392190	404040	416150	428540	441200	454110	467280	480690	494350	508230	522310	536600	551060	565670	580410	595270	610200	625180	640190	655220	670220	685180	700080	714910	729650	744320	758910	773440	787970	802550	817260	832210	847580	863570	880510	898800
13	212080	218620	225380	232350	239560	247030	254800	262850	271190	279820	288720	297880	307300	317000	326960	337180	347680	358440	369480	380800	392380	404240	416380	428780	441460	454400	467590	481030	494720	508630	522750	537070	551570	566220	581020	595920	610900	625950	641020	656100	671170	686190	701150	716030	730830	745550	760190	774770	789330	803930	818650	833590	848920	864840	881650	899760	919720
14	218680	225430	232400	239610	247090	254850	262910	271240	279870	288780	297940	307370	317070	327030	337260	347760	358540	369590	380910	392510	404380	416520	428940	441630	454580	467790	481250	494950	508890	523030	537380	551900	566590	581410	596340	611360	626450	641560	656680	671790	686850	701850	716780	731620	746380	761050	775670	790260	804880	819610	834550	849860	865750	882500	900500	920310	942690
15	225460	232420	239630	247110	254870	262930	271270	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860
16	232420	239630	247110	254870	262930	271270	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000
17	239630	247110	254870	262930	271270	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000
18	247110	254870	262930	271270	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000
19	254870	262930	271270	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000
20	262930	271270	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000
21	271270	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000
22	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000
23	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
24	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
25	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
26	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
